BZHISTID;BZNR;BZNAME;KTNR;GRNR;AREA_HA;E_MIN;E_MAX;N_MIN;N_MAX;E_CNTR;N_CNTR;Z_MIN;Z_MAX;Z_AVG;Z_MED;
10053;101;Bezirk Affoltern;1;4;11303;2671863;2686463;1229137;1245396;2678300;1235900;380;915;561;557;
10082;102;Bezirk Andelfingen;1;4;16654;2684957;2704389;1264720;1283343;2693200;1274000;342;695;438;427;
10081;103;Bezirk Bülach;1;4;18488;2676552;2693524;1250961;1276522;2684800;1263000;330;692;466;451;
10080;104;Bezirk Dielsdorf;1;4;15285;2669245;2684519;1252441;1269583;2676400;1260000;332;866;484;462;
10079;105;Bezirk Hinwil;1;4;17950;2697375;2716900;1233458;1248312;2707300;1240300;439;1291;685;645;
10078;106;Bezirk Horgen;1;4;10424;2680481;2696878;1223896;1243312;2688500;1231800;404;1228;600;596;
10077;107;Bezirk Meilen;1;4;8463;2685057;2703423;1232200;1245507;2689600;1241000;405;853;559;547;
10076;108;Bezirk Pfäffikon;1;4;16315;2691821;2713653;1243859;1258390;2702700;1249300;454;1073;635;626;
10075;109;Bezirk Uster;1;4;11230;2686408;2700228;1236811;1254014;2696700;1244100;426;845;502;481;
10074;110;Bezirk Winterthur;1;4;25175;2687929;2712738;1251095;1272191;2700800;1262200;369;890;529;509;
10229;111;Bezirk Dietikon;1;4;6012;2669738;2679230;1241970;1254508;2674700;1248700;379;799;483;476;
10228;112;Bezirk Zürich;1;4;8793;2676225;2689666;1241584;1254306;2682400;1248500;392;870;487;457;
10283;241;Arrondissement administratif Jura bernois;2;2;54172;2556241;2610093;1212142;1243835;2580400;1227800;429;1607;964;968;
10284;242;Verwaltungskreis Biel/Bienne;2;2;9766;2575746;2596458;1211565;1228480;2587300;1220800;422;1197;539;464;
10285;243;Verwaltungskreis Seeland;2;2;33710;2568553;2604429;1202124;1226634;2587500;1211800;424;821;492;472;
10286;244;Verwaltungskreis Oberaargau;2;2;33083;2610705;2634286;1210714;1238152;2624100;1225600;399;1232;586;550;
10287;245;Verwaltungskreis Emmental;2;2;69041;2605003;2639362;1181695;1224162;2622800;1204100;451;2197;805;787;
10288;246;Verwaltungskreis Bern-Mittelland;2;2;94245;2575210;2622384;1168849;1219080;2601800;1193800;450;2188;750;673;
10289;247;Verwaltungskreis Thun;2;2;32198;2601204;2632774;1169610;1187310;2609000;1176600;535;2189;942;896;
10290;248;Verwaltungskreis Obersimmental-Saanen;2;2;57487;2581085;2608971;1130585;1167180;2594000;1147300;794;3247;1658;1619;
10291;249;Verwaltungskreis Frutigen-Niedersimmental;2;2;77363;2594691;2631091;1139997;1174600;2613900;1157000;557;3694;1663;1640;
10292;250;Verwaltungskreis Interlaken-Oberhasli;2;2;122931;2623433;2677745;1147409;1182847;2649600;1167300;556;4271;1906;1887;
10298;311;Wahlkreis Luzern-Stadt;3;6;2910;2658323;2675205;1205685;1215024;2664300;1212000;419;1123;505;490;
10299;312;Wahlkreis Luzern-Land;3;6;18757;2652361;2681764;1201632;1221523;2659300;1207500;403;2076;736;626;
10300;313;Wahlkreis Hochdorf;3;6;17737;2658917;2673331;1212970;1237691;2666100;1223800;399;878;557;524;
10301;314;Wahlkreis Sursee;3;6;27307;2643581;2661768;1210498;1234868;2652600;1216100;449;866;634;635;
10302;315;Wahlkreis Willisau;3;6;33743;2630128;2648997;1206022;1236889;2639400;1221000;435;1402;671;646;
10303;316;Wahlkreis Entlebuch;3;6;42459;2631826;2655295;1180568;1214777;2643700;1197200;509;2347;1109;1055;
10061;400;Kanton Uri;4;6;105731;2673345;2715796;1153451;1204752;2690900;1180400;429;3629;1927;1990;
10060;501;Bezirk Einsiedeln;5;6;9893;2694483;2709972;1213304;1226109;2698300;1220000;783;1614;1060;1012;
10059;502;Bezirk Gersau;5;6;1435;2678715;2685262;1204687;1209111;2682800;1206600;433;1698;971;988;
10058;503;Bezirk Höfe;5;6;3761;2694121;2703789;1222918;1230979;2698600;1226700;404;1205;679;671;
10272;504;Bezirk Küssnacht (SZ);5;6;2938;2672167;2679650;1211331;1218653;2677700;1214900;414;1797;641;541;
10096;505;Bezirk March;5;6;17676;2702737;2718719;1208678;1230778;2711200;1221600;405;2294;947;941;
10068;506;Bezirk Schwyz;5;6;49431;2677980;2716675;1193657;1221393;2698600;1207300;413;2800;1286;1275;
10070;600;Kanton Obwalden;6;6;48062;2646045;2681479;1178345;1203582;2658500;1184400;431;3238;1356;1382;
10110;700;Kanton Nidwalden;7;6;24134;2659304;2686449;1180482;1206270;2673900;1196300;432;2896;1163;1128;
10109;800;Kanton Glarus;8;5;68068;2709274;2738138;1183890;1225967;2723700;1204500;411;3610;1588;1600;
10108;900;Kanton Zug;9;6;20715;2672419;2695750;1215061;1233506;2683700;1223600;386;1579;692;690;
10107;1001;District de la Broye;10;2;17364;2547264;2570776;1174242;1197524;2555700;1185700;429;820;537;510;
10106;1002;District de la Glâne;10;2;16866;2550643;2569555;1158289;1182250;2560100;1169400;521;1205;766;757;
10105;1003;District de la Gruyère;10;2;48984;2561947;2590964;1143053;1174420;2583700;1163900;607;2389;1175;1138;
10104;1004;District de la Sarine;10;2;21775;2564515;2583315;1170436;1188921;2573600;1179600;521;1528;705;683;
10103;1005;Bezirk See / District du Lac;10;2;14585;2569683;2584560;1187359;1206220;2577100;1191500;422;671;518;523;
10102;1006;Bezirk Sense;10;2;26526;2577550;2595531;1164948;1194781;2586600;1181500;482;2238;880;757;
10101;1007;District de la Veveyse;10;2;13431;2551832;2567182;1147221;1164037;2560200;1155700;631;2013;1008;889;
10230;1101;Bezirk Gäu;11;2;6205;2618619;2630403;1233968;1243380;2625200;1238200;399;1033;502;452;
10231;1102;Bezirk Thal;11;2;13940;2598301;2626451;1232424;1246879;2614000;1240200;471;1330;810;796;
