KTNR;KTNAME;GRNR;AREA_HA;E_MIN;E_MAX;N_MIN;N_MAX;E_CNTR;N_CNTR;Z_MIN;Z_MAX;Z_AVG;Z_MED
1;Zürich;4;172894;2669245;2716900;1223896;1283343;2691800;1252000;330;1291;533;505
2;Bern / Berne;2;595850;2556241;2677745;1130585;1243835;2614200;1185600;399;4271;1199;980
3;Luzern;6;149352;2630128;2681764;1180568;1237691;2651000;1213100;399;2347;771;680
4;Uri;6;107653;2673345;2715796;1153451;1205339;2690800;1180700;429;3629;1901;1976
5;Schwyz;6;90788;2672167;2718719;1193657;1231067;2700100;1213100;404;2800;1096;1053
6;Obwalden;6;49058;2646045;2681479;1178345;1203582;2658700;1189900;431;3238;1337;1368
7;Nidwalden;6;27585;2659304;2686449;1180482;1208075;2673600;1197700;432;2896;1072;987
8;Glarus;5;68531;2709274;2738138;1183890;1225967;2723700;1204600;411;3610;1580;1595
9;Zug;6;23873;2672419;2695750;1215061;1233506;2683300;1223500;386;1579;664;638
10;Fribourg / Freiburg;2;167243;2546837;2595531;1143053;1206220;2573800;1173100;422;2389;856;750
11;Solothurn;2;79046;2592561;2644760;1213703;1261330;2618600;1242300;281;1445;617;551
12;Basel-Stadt;3;3695;2608733;2619191;1263185;1272279;2611300;1267500;244;522;294;273
13;Basel-Landschaft;3;51767;2591443;2639481;1243060;1268191;2628400;1253700;245;1168;517;505
14;Schaffhausen;5;29842;2672515;2707983;1267448;1295934;2684400;1286200;343;912;538;514
15;Appenzell Ausserrhoden;5;24284;2732375;2765346;1234615;1259712;2748800;1250200;431;2501;929;907
16;Appenzell Innerrhoden;5;17248;2741442;2764416;1233274;1257039;2748500;1241500;540;2502;1129;1029
17;St. Gallen;5;202820;2702742;2768769;1193269;1268609;2735700;1223400;392;3234;983;808
18;Graubünden / Grigioni / Grischun;5;710530;2692838;2833858;1114569;1214817;2767500;1169500;253;4048;2021;2101
19;Aargau;3;140380;2620698;2676827;1221173;1274772;2654200;1251200;255;908;475;463
20;Thurgau;5;99433;2692317;2755680;1248320;1283504;2724300;1270000;368;991;496;482
21;Ticino;7;281215;2672484;2732913;1075268;1165700;2705500;1128000;193;3400;1391;1419
22;Vaud;1;321202;2494306;2585462;1115149;1204076;2539300;1156800;369;3209;842;685
23;Valais / Wallis;1;522464;2548579;2679787;1078560;1167428;2612800;1117500;371;4632;2136;2221
24;Neuchâtel;2;80216;2523392;2573336;1188830;1224027;2549900;1205100;421;1550;912;1005
25;Genève;1;28249;2485410;2512974;1109645;1135578;2499000;1119100;331;517;419;421
26;Jura;2;83851;2554671;2609051;1222309;1261608;2578600;1244400;364;1293;688;639
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
