UUID;OBJEKTART;OBJEKTKLASSE_TLM;KUNSTBAUTE;NAME_UUID;NAME;STATUS;SPRACHCODE;NAMEN_TYP;NAMENGRUPPE_UUID;E;N;Z
{BDBCA08D-A6E8-4B9B-AAB4-21375E54BB70};Skilift;TLM_UEBRIGE_BAHN;k_W;{51AB5AC6-DDB3-4D41-8C90-CD33ED8C8492};Heiden;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2758007;1255703;882
{528F20C9-2A4F-46BF-B9FE-26EF3F8429A9};Skilift;TLM_UEBRIGE_BAHN;k_W;{17E922D3-30DB-4F4F-A382-FAB5869B2A99};Oberegg-St. Anton;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2759208;1253727;995
{A0D8A166-A9FF-43DD-ACCA-C38EAED3D5E3};Skilift;TLM_UEBRIGE_BAHN;k_W;{214EEB77-40E6-4145-AF24-CFF6472EF689};Milolift;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2823238;1207104;2276
{DB7D5AA9-DEFA-4D70-A419-E540DC60F57B};Sesselbahn;TLM_UEBRIGE_BAHN;k_W;{794D8522-B622-468F-9E7C-9E9EED028C7F};Grivaleabahn;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2824136;1208483;2490
{D84D84AB-15F8-4A1D-A04F-330037E49B31};Sesselbahn;TLM_UEBRIGE_BAHN;k_W;{EDCD245F-1866-4DCD-91B2-7680179B1322};Flimsattelbahn;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2822054;1207221;2511
{0BC1FFA9-7C30-4851-813B-AE8092FD1862};Sesselbahn;TLM_UEBRIGE_BAHN;k_W;{39CA3430-61A9-4EC1-AB54-056681D60EC3};Mullerbahn;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2823932;1207785;2379
{F6A09C66-1F01-4643-9671-F5E9A2FAFDFC};Sesselbahn;TLM_UEBRIGE_BAHN;k_W;{F71F2FAE-E4E9-4638-9CAE-C192C3EF724D};Viderjochbahn 1;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2822611;1207008;2392
{D2F757CD-30D1-450F-9521-6FA38E6F12EA};Skilift;TLM_UEBRIGE_BAHN;k_W;{86C487BA-5DAB-4304-874C-21227A88E6D7};Champatsch;offiziell;Rumantsch Grischun inkl. Lokalsprachen;einfacher Name;;2815423;1191438;2604
{E77C6F10-4B63-4C48-8F47-7C6B20FCAD12};Skilift;TLM_UEBRIGE_BAHN;k_W;{86C487BA-5DAB-4304-874C-21227A88E6D7};Champatsch;offiziell;Rumantsch Grischun inkl. Lokalsprachen;einfacher Name;;2815409;1191432;2607
{1F4CCF35-83D9-4321-BB22-F765F458875E};Sesselbahn;TLM_UEBRIGE_BAHN;k_W;{AA378125-E18A-4AE4-9E46-98C6DDBAD277};Mot da Ri;offiziell;Rumantsch Grischun inkl. Lokalsprachen;einfacher Name;;2815322;1189895;2326
{BA8C579D-C537-4E53-9A67-D493E74D65F0};Sesselbahn;TLM_UEBRIGE_BAHN;k_W;{628D63F2-119B-4131-907C-E80563456BB1};Salaniva;offiziell;Rumantsch Grischun inkl. Lokalsprachen;einfacher Name;;2816245;1190648;2394
{E2CE948C-8799-463B-9E10-1520B78D5CD3};Sesselbahn;TLM_UEBRIGE_BAHN;k_W;{62D37FF6-4511-4DDE-BA19-1C3FF916CBC1};Clünas;offiziell;Rumantsch Grischun inkl. Lokalsprachen;einfacher Name;;2815416;1189442;2325
{B9059852-AA9D-4569-8A22-854FEA9E1390};Sesselbahn;TLM_UEBRIGE_BAHN;k_W;{D145F3D5-B74A-4BB0-8E21-DB27254487F5};Naluns;offiziell;Rumantsch Grischun inkl. Lokalsprachen;einfacher Name;;2815758;1188764;2263
{8435FF0E-84BC-4F89-A9D5-B97BC5266D01};Skilift;TLM_UEBRIGE_BAHN;k_W;{58D01BE9-4729-4CD2-AF04-425B5BA0FB84};Clis da Ravaisch;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2822915;1203662;1835
{CD159A44-2811-495E-B360-4A2E335B9897};Skilift;TLM_UEBRIGE_BAHN;k_W;{F2F9BEDB-7FF3-4442-A5E2-B8E4DA7CABCE};Musellalift;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2822073;1203357;1874
{B19DFED5-1550-4E3F-BD57-CBF812C31132};Skilift;TLM_UEBRIGE_BAHN;k_W;{6E3D7675-F42D-4BCB-917F-002FA714EF03};Greitspitzlift;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2820312;1206458;2806
{8923A71F-B67F-4900-B257-663DBC9EAF7F};Skilift;TLM_UEBRIGE_BAHN;k_W;{528A56E7-6917-4840-8747-C8F1DC3211A8};Blais Grondalift;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2821820;1206576;2537
{11B039CE-5852-4EBD-B285-11B8147FD19D};Luftseilbahn;TLM_UEBRIGE_BAHN;k_W;{907C833A-2019-4EEC-8725-9B20CBEAB628};Samnaun-Alptrider Sattel 1;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2823177;1205244;1953
{6E27DC32-C327-4138-8289-4D4CCFFFA748};Skilift;TLM_UEBRIGE_BAHN;k_W;{ED1A5FDE-F26F-4750-BF50-513B3E3CC631};Alptrider Ecklift;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2822660;1206652;2445
{EBAD8AE1-708E-4CFD-B58A-7020000AB351};Sesselbahn;TLM_UEBRIGE_BAHN;k_W;{98F6DFCF-EE53-42FC-9A22-FD71293113B1};Greitspitzbahn;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2820984;1206178;2583
{A54BB966-4535-415F-9A30-1081FD7DC95B};Luftseilbahn;TLM_UEBRIGE_BAHN;k_W;{75BDF66C-94AC-4B29-A73A-76BE1DE385B0};Samnaun-Alptrider Sattel 2;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2823101;1205238;1950
{90797B21-B64E-41A0-A453-BE5B42EBB244};Sesselbahn;TLM_UEBRIGE_BAHN;k_W;{5C87C28D-21A0-48B5-8DA9-9DC84072E773};Alptrider Sattelbahn;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2823053;1206779;2378
{2C35A748-1585-4DD2-A619-2DE01F0BF824};Sesselbahn;TLM_UEBRIGE_BAHN;k_W;{F0D0008A-EEF7-49FE-9EB1-EC101282754C};Viderjochbahn 2;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2821107;1206475;2627
{ACA48BFB-93B3-4628-AD79-AD7970CF9A39};Sesselbahn;TLM_UEBRIGE_BAHN;k_W;{E5B2B56B-5D2E-4D7A-AF72-BD0F8FE94407};Sareis;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2765200;1219049;1789
{5E08EA1D-F879-412B-8857-CCFC377A75CD};Skilift;TLM_UEBRIGE_BAHN;k_W;{505A383A-DFFA-4126-B8DE-BE8B0815C4A0};Schneeflucht;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2764241;1219664;1517
{162435BE-0A79-48EE-ACDD-8BF65F388DA6};Skilift;TLM_UEBRIGE_BAHN;k_W;{0E5E3354-76D8-4383-A363-B83313BFE334};Flensa;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2766573;1206614;1107
{25DAFD78-EFA0-4F62-9E5A-D46FF5BC43C6};Gondelbahn;TLM_UEBRIGE_BAHN;k_W;{155DAAE0-CC75-4C8A-AE02-03677B16D569};Klosters Dorf-Madrisa;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2785244;1196461;1522
{A5F3B6C5-3945-41AB-A577-8B5F9AF80E0E};Skilift;TLM_UEBRIGE_BAHN;k_W;{D715C6C9-0FC8-4B81-BCCA-A927F0F8EBD1};Junker;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2779879;1204960;1562
{5DF900A4-B082-43AC-B25D-9357633A475B};Skilift;TLM_UEBRIGE_BAHN;k_W;{FF3E2C44-3F2D-4994-B9AB-4954051E5068};Glatteggen;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2784552;1198406;2092
{ADF9FDC9-AA5F-4E07-8EDA-AC5B5BB7899D};Skilift;TLM_UEBRIGE_BAHN;k_W;{05D8B8D9-E45A-4F2C-B08E-89115D42BBC3};Albeina I;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2784783;1197745;1949
{C23E8B2D-B68F-4801-9423-C109FE6B7DE1};Skilift;TLM_UEBRIGE_BAHN;k_W;{41A704DB-BF78-4CB6-9AB8-A0241646CE46};Madrisa;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2785225;1199985;2416
{C2D3CAD7-A801-46B5-9FF9-CBEF79B75134};Luftseilbahn;TLM_UEBRIGE_BAHN;k_W;{0E74CFD4-114A-4003-B042-FDA6DFBD90D2};Weissfluhjoch-Weissfluhgipfel;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2780168;1189672;2631
{31CDAE80-FB07-4745-9C9E-67E11DA3BA78};Gondelbahn;TLM_UEBRIGE_BAHN;k_W;{4082427C-C1B7-47C9-9B3F-AD1530B24AF7};Obersäss-Weissfluhjoch 2.Sektion;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2780631;1191408;2339
{47B27C30-9C0E-4F4B-AD75-7305C1612975};Skilift;TLM_UEBRIGE_BAHN;k_W;{7CCD363C-BCC6-42BF-8A2F-69ED22E1071D};Selfranga;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2786807;1192708;1274
{0EF97D4F-43FB-4FB1-8830-3F781E5D9EBC};Skilift;TLM_UEBRIGE_BAHN;k_W;{E2A372C4-6A1B-4027-A8B5-1E25124BC78D};Parsennmäder;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2783490;1191847;2138
{F76DA76E-30D0-4704-A63B-EB25B0877C97};Skilift;TLM_UEBRIGE_BAHN;k_W;{56B80B71-6473-4DD3-8EF2-BD0D0380DD5C};Kreuzweg;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2780854;1191475;2387
{B17A0CED-8714-48D7-9565-827337A4532A};Skilift;TLM_UEBRIGE_BAHN;k_W;{11F72822-22E5-4345-83B5-C8A9231F245C};Hauptertäli;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2780334;1189226;2541
{3B2C5295-22EA-4F75-A7A6-B984D8D29F4B};Skilift;TLM_UEBRIGE_BAHN;k_W;{BA1AA9A4-7AB4-4AC2-8F2F-600711CF1713};Seetälli;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2781742;1191914;2329
{72E0BD88-5D4E-4E26-9A6B-D6A452A5EE6A};Luftseilbahn;TLM_UEBRIGE_BAHN;k_W;{08D1F350-2AAD-43AE-8860-93E6D1D9B0D8};Gotschnabahn 2 Gotschnaboden-Gotschnagrat;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2784077;1192758;1993
{8F05276F-7704-4FE1-84E3-08432425D47A};Sesselbahn;TLM_UEBRIGE_BAHN;k_W;{8B6FB653-677C-4593-A298-373F97221EF7};Schwarzseealp;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2784210;1192036;2145
{807852F7-440B-4387-9E1F-AB56F9FCB67A};Sesselbahn;TLM_UEBRIGE_BAHN;k_W;{92982154-7ABE-41BD-8910-E4307C456963};Gruobenalp;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2782956;1191908;2195
{D5EA3AB0-5F01-480F-9D73-D5FBABFFAB1A};Skilift;TLM_UEBRIGE_BAHN;k_W;{CE93C393-456C-490D-802E-015963FC95BE};Heid;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2786370;1194339;1240
{86294B72-A709-4B93-A180-CDD42C78B520};Luftseilbahn;TLM_UEBRIGE_BAHN;k_W;{990B864A-36CA-4190-A588-51D574996246};Gotschnabahn 1 Klosters-Gotschnaboden;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2785298;1193357;1511
{278F6EC4-512D-4419-BA2D-5E5F86AEDA89};Gondelbahn;TLM_UEBRIGE_BAHN;k_W;{CF8796EE-9FC7-4BC3-B8F0-29B7BAA63A65};Schifer-Obersäss 1.Sektion;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2780856;1194015;1805
{7B58744E-BF48-4FEF-B599-EEA59B98CE40};Sesselbahn;TLM_UEBRIGE_BAHN;k_W;{A4DF44A7-CAEA-40B3-AC4A-D5E3FA6395FB};Rapid;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2781220;1188791;2422
{2D2814D9-EF27-4C15-A347-BF406C6F8F46};Luftseilbahn;TLM_UEBRIGE_BAHN;k_W;{1B7FBA4C-A50F-4B0B-9BCB-49E4F200B9E0};Parsennhütte-Weissfluhjoch;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2781302;1190650;2462
{985E1F17-46BC-48F3-B416-453B6442AB6F};Sesselbahn;TLM_UEBRIGE_BAHN;k_W;{A0387E90-59F7-4AC5-A5DF-D68E6F5A16A2};Totalp;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2781303;1190560;2436
{E2FDC6A3-6ED8-4C1D-908A-236C9FE0B1EE};Sesselbahn;TLM_UEBRIGE_BAHN;k_W;{0C3B3196-B887-4242-B65F-4959C63FC8B7};Meierhoftäli;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2781402;1189727;2386
{D3081C3E-4073-43AB-8AC6-78BFA1CBF6FC};Skilift;TLM_UEBRIGE_BAHN;k_W;{6113ED9F-A24F-4E26-9760-020E44A8F368};Tristeli;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2757163;1205090;1318
{D6C452B9-57D4-4893-A60D-BF1887299CE1};Skilift;TLM_UEBRIGE_BAHN;k_W;{A9A361E2-0FF2-42C1-A1CE-2611A704BB59};Vacca;offiziell;Rumantsch Grischun inkl. Lokalsprachen;einfacher Name;;2766656;1202181;1353
{20DC9DF2-1D08-4C4A-A48B-74A3F803C0AB};Skilift;TLM_UEBRIGE_BAHN;k_W;{FEF9E1D8-6163-49E5-AD71-94C7BBC5C673};Bünda;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2767711;1201471;1729
{A9523B08-6FAC-41E9-B6A1-40FCE39E54E5};Skilift;TLM_UEBRIGE_BAHN;k_W;{6864886A-33B2-4446-A4D7-03679E967F8C};Schwendi;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2767855;1201758;1684
{6D98B3F8-F6B0-4155-918B-A6A11ACB9A2B};Luftseilbahn;TLM_UEBRIGE_BAHN;k_W;{6B2E1940-ECD0-435F-B2AE-65E179C0DA5D};Malans-Älpli;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2762767;1207588;1123
{A0DFA485-56E7-45C8-82BC-D45C00E3EEE0};Luftseilbahn;TLM_UEBRIGE_BAHN;k_W;{50B204AF-2FFE-4C12-8E7D-6A427A336AA4};Fanas-Cania-Eggli;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2770175;1207071;1290
{15400290-7B7A-47E3-8671-3E68729461ED};Skilift;TLM_UEBRIGE_BAHN;k_W;{C12D5A48-C099-4394-8B84-13D68740D75E};Pany;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2776833;1200661;1428
{BCAB9E48-59C7-4F20-8B6D-CDBB2CCDC04B};Luftseilbahn;TLM_UEBRIGE_BAHN;k_W;{16AD9617-AA4B-4013-AD37-BCA07C2071B3};Vordere Lerch-Hintere Lerch;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2770107;1195374;1781
{EB546802-445E-4046-B7BD-A00D10935366};Gondelbahn;TLM_UEBRIGE_BAHN;k_W;{58EB5B97-9C12-40A7-8780-526EDB6B6F20};Sektion 2 Cavadura-Schwänzelegg;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2767643;1202656;1541
{B312578A-2146-431A-946D-57B98D063102};Sesselbahn;TLM_UEBRIGE_BAHN;k_W;{0D0BC62E-4AE1-40D3-8C53-F42AF962A9E8};Danusa-Schwänzelegg;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2768731;1201718;1692
