,type,id,stac_version,description,links,created,updated,crs,itemType,title,extent,license,providers,summaries
0,Collection,ch.are.agglomerationsverkehr,1.0.0,"The list of cities and conurbations which qualify for subsidies shows which municipalities are entitled to federal subsidies within the framework of the Urban Transport programme (in accordance with Annex 4 of the Ordinance on the Application of the Earmarked Mineral Oil Tax and other earmarked funds for traffic ([MinVV]). The basis for the list shows the definition of “Spaces with an urban character” from the Federal Statistical Office, FSO (2012). This includes the right to subsidies for all municipalities that are entitled to subsidies based on the definition of a conurbation from 2000. The number of adjoining communities are reduced in accordance with the definition by the Federal Statistical Office, FSO in 2012, through the use of statistical criteria. The municipalities of Sarnen and Appenzell as canton capitals are also included in the list of cities and conurbations which qualify for subsidies. Small adjustments were made with realignments and fillings in the gaps.","[{'rel': 'self', 'href': 'https://data.geo.admin.ch/api/stac/v0.9/collections/ch.are.agglomerationsverkehr'}, {'rel': <RelType.ROOT: 'root'>, 'href': 'https://data.geo.admin.ch/api/stac/v0.9/', 'type': <MediaType.JSON: 'application/json'>, 'title': 'data.geo.admin.ch'}, {'rel': 'parent', 'href': 'https://data.geo.admin.ch/api/stac/v0.9/'}, {'rel': 'items', 'href': 'https://data.geo.admin.ch/api/stac/v0.9/collections/ch.are.agglomerationsverkehr/items'}, {'rel': 'alternate', 'href': 'https://data.geo.admin.ch/browser/index.html#/collections/ch.are.agglomerationsverkehr', 'type': 'text/html', 'title': 'STAC Browser'}, {'rel': 'license', 'href': 'https://opendata.swiss/en/terms-of-use/#terms_by', 'title': 'Terms of use'}, {'rel': 'describedby', 'href': 'https://www.geocat.ch/geonetwork/srv/eng/catalog.search#/metadata/f4b72bb8-aff0-4eab-b1e8-48e698c0e8fb', 'title': 'Metadata'}, {'rel': 'about', 'href': 'https://www.are.admin.ch/are/de/home/verkehr-und-infrastruktur/programme-und-projekte/pav.html', 'title': 'Further information'}]",2021-10-13T14:38:04.044650Z,2023-05-15T09:14:39.604702Z,['http://www.opengis.net/def/crs/OGC/1.3/CRS84'],Feature,Cities and conurbations which qualify for subsidies,"{'spatial': {'bbox': [[5.96, 45.82, 10.49, 47.81]]}, 'temporal': {'interval': [['2018-01-01T00:00:00Z', '2023-01-01T00:00:00Z']]}}",proprietary,"[{'name': 'Federal Office for Spatial Development - ARE', 'roles': ['producer', 'licensor'], 'url': 'https://www.are.admin.ch/'}]",{'proj:epsg': [2056]}
1,Collection,ch.are.alpenkonvention,1.0.0,"The perimeters of the Alpine Convention in Switzerland. The Alpine Convention is an international treaty between the eight Alpine countries: Germany, France, Italy, Liechtenstein, Monaco, Austria, Switzerland and Slovenia, plus the European Union. The aim of the treaty is to protect the Alps by means of cross-sectoral, integrated and sustainable policies.","[{'rel': 'self', 'href': 'https://data.geo.admin.ch/api/stac/v0.9/collections/ch.are.alpenkonvention'}, {'rel': <RelType.ROOT: 'root'>, 'href': 'https://data.geo.admin.ch/api/stac/v0.9/', 'type': <MediaType.JSON: 'application/json'>, 'title': 'data.geo.admin.ch'}, {'rel': 'parent', 'href': 'https://data.geo.admin.ch/api/stac/v0.9/'}, {'rel': 'items', 'href': 'https://data.geo.admin.ch/api/stac/v0.9/collections/ch.are.alpenkonvention/items'}, {'rel': 'alternate', 'href': 'https://data.geo.admin.ch/browser/index.html#/collections/ch.are.alpenkonvention', 'type': 'text/html', 'title': 'STAC Browser'}, {'rel': 'license', 'href': 'https://opendata.swiss/en/terms-of-use/#terms_by', 'title': 'Terms of use'}, {'rel': 'describedby', 'href': 'https://www.geocat.ch/geonetwork/srv/eng/catalog.search#/metadata/8698bf0b-fceb-4f0f-989b-111e7c4af0a4', 'title': 'Metadata'}, {'rel': 'about', 'href': 'https://www.are.admin.ch/are/de/home/laendliche-raeume-und-berggebiete/internationale-zusammenarbeit/alpenkonvention.html', 'title': 'Further information'}]",2021-10-13T14:41:42.217694Z,2022-09-14T08:51:14.284101Z,['http://www.opengis.net/def/crs/OGC/1.3/CRS84'],Feature,Alpine Convention,"{'spatial': {'bbox': [[5.96, 45.82, 10.49, 47.81]]}, 'temporal': {'interval': [['2009-01-01T00:00:00Z', '2009-01-01T00:00:00Z']]}}",proprietary,"[{'name': 'Federal Office for Spatial Development - ARE', 'roles': ['producer', 'licensor'], 'url': 'https://www.are.admin.ch/'}]",{'proj:epsg': [2056]}
2,Collection,ch.are.belastung-personenverkehr-bahn,1.0.0,"Passengers transported by public transport on the Swiss rail network (including tram). Daily values for average workday traffic (AWDT) and average daily traffic (ADT) as well as values for the morning peak hour (7h-8h, MPH) and evening peak hour (17h-18h, EPH). Source: National Passenger Traffic Model (NPVM) by DETEC.","[{'rel': 'self', 'href': 'https://data.geo.admin.ch/api/stac/v0.9/collections/ch.are.belastung-personenverkehr-bahn'}, {'rel': <RelType.ROOT: 'root'>, 'href': 'https://data.geo.admin.ch/api/stac/v0.9/', 'type': <MediaType.JSON: 'application/json'>, 'title': 'data.geo.admin.ch'}, {'rel': 'parent', 'href': 'https://data.geo.admin.ch/api/stac/v0.9/'}, {'rel': 'items', 'href': 'https://data.geo.admin.ch/api/stac/v0.9/collections/ch.are.belastung-personenverkehr-bahn/items'}, {'rel': 'alternate', 'href': 'https://data.geo.admin.ch/browser/index.html#/collections/ch.are.belastung-personenverkehr-bahn', 'type': 'text/html', 'title': 'STAC Browser'}, {'rel': 'license', 'href': 'https://opendata.swiss/en/terms-of-use/#terms_by', 'title': 'Terms of use'}, {'rel': 'describedby', 'href': 'https://www.geocat.ch/geonetwork/srv/eng/catalog.search#/metadata/6fa32c65-988d-4e09-8034-6c5abcbd4e3f', 'title': 'Metadata'}, {'rel': 'about', 'href': 'https://www.are.admin.ch/are/de/home/verkehr-und-infrastruktur/grundlagen-und-daten/verkehrsmodellierung/nationales-personenverkehrsmodell.html', 'title': 'Further information'}]",2021-10-13T14:44:14.224707Z,2022-09-14T09:08:28.273027Z,['http://www.opengis.net/def/crs/OGC/1.3/CRS84'],Feature,Load (passengers) on the Swiss rail network (passenger traffic),"{'spatial': {'bbox': [[5.96, 45.82, 10.49, 47.81]]}, 'temporal': {'interval': [['2017-06-30T00:00:00Z', '2017-06-30T00:00:00Z']]}}",proprietary,"[{'name': 'Federal Office for Spatial Development - ARE', 'roles': ['producer', 'licensor'], 'url': 'https://www.are.admin.ch/'}]",{'proj:epsg': [2056]}
3,Collection,ch.are.belastung-personenverkehr-bahn_zukunft,1.0.0,"Passengers transported by public transport on the Swiss rail network (including tram) in 2050. Daily values for average workday traffic (AWDT) and average daily traffic (ADT) as well as values for the morning peak hour (7h-8h, MPH) and evening peak hour (17h-18h, EPH). Source: Transport outlook 2050, Scenario Basis.","[{'rel': 'self', 'href': 'https://data.geo.admin.ch/api/stac/v0.9/collections/ch.are.belastung-personenverkehr-bahn_zukunft'}, {'rel': <RelType.ROOT: 'root'>, 'href': 'https://data.geo.admin.ch/api/stac/v0.9/', 'type': <MediaType.JSON: 'application/json'>, 'title': 'data.geo.admin.ch'}, {'rel': 'parent', 'href': 'https://data.geo.admin.ch/api/stac/v0.9/'}, {'rel': 'items', 'href': 'https://data.geo.admin.ch/api/stac/v0.9/collections/ch.are.belastung-personenverkehr-bahn_zukunft/items'}, {'rel': 'alternate', 'href': 'https://data.geo.admin.ch/browser/index.html#/collections/ch.are.belastung-personenverkehr-bahn_zukunft', 'type': 'text/html', 'title': 'STAC Browser'}, {'rel': 'license', 'href': 'https://opendata.swiss/en/terms-of-use/#terms_by', 'title': 'Terms of use'}, {'rel': 'describedby', 'href': 'https://www.geocat.ch/geonetwork/srv/eng/catalog.search#/metadata/8f947ac4-0334-4065-a55f-2563b39cd6ed', 'title': 'Metadata'}, {'rel': 'about', 'href': 'https://www.are.admin.ch/are/en/home/mobility/data/transport-perspectives.html', 'title': 'Further information'}]",2021-12-09T15:08:16.675625Z,2022-09-14T09:08:54.483412Z,['http://www.opengis.net/def/crs/OGC/1.3/CRS84'],Feature,Load (passengers) on the Swiss rail network (passenger traffic) 2050,"{'spatial': {'bbox': [[5.96, 45.82, 10.49, 47.81]]}, 'temporal': {'interval': [['2021-06-30T00:00:00Z', '2021-06-30T00:00:00Z']]}}",proprietary,"[{'name': 'Federal Office for Spatial Development - ARE', 'roles': ['producer', 'licensor'], 'url': 'https://www.are.admin.ch/'}]",{'proj:epsg': [2056]}
4,Collection,ch.are.belastung-personenverkehr-strasse,1.0.0,"Vehicles on the Swiss road network, divided into passenger cars (PW), delivery vehicles (LI), lorries (LW) and articulated lorries (LZ). Daily values for average workday traffic (AWDT) and average daily traffic (ADT) as well as values for the morning peak hour (7h-8h, MPH) and evening peak hour (17h-18h, EPH). Source: National Passenger Traffic Model (NPVM) and Aggregated Method for Freight Traffic (AMG) by DETEC.","[{'rel': 'self', 'href': 'https://data.geo.admin.ch/api/stac/v0.9/collections/ch.are.belastung-personenverkehr-strasse'}, {'rel': <RelType.ROOT: 'root'>, 'href': 'https://data.geo.admin.ch/api/stac/v0.9/', 'type': <MediaType.JSON: 'application/json'>, 'title': 'data.geo.admin.ch'}, {'rel': 'parent', 'href': 'https://data.geo.admin.ch/api/stac/v0.9/'}, {'rel': 'items', 'href': 'https://data.geo.admin.ch/api/stac/v0.9/collections/ch.are.belastung-personenverkehr-strasse/items'}, {'rel': 'alternate', 'href': 'https://data.geo.admin.ch/browser/index.html#/collections/ch.are.belastung-personenverkehr-strasse', 'type': 'text/html', 'title': 'STAC Browser'}, {'rel': 'license', 'href': 'https://opendata.swiss/en/terms-of-use/#terms_by', 'title': 'Terms of use'}, {'rel': 'describedby', 'href': 'https://www.geocat.ch/geonetwork/srv/eng/catalog.search#/metadata/4540e0db-04c7-4509-b809-11542e7acba9', 'title': 'Metadata'}, {'rel': 'about', 'href': 'https://www.are.admin.ch/are/de/home/verkehr-und-infrastruktur/grundlagen-und-daten/verkehrsmodellierung/nationales-personenverkehrsmodell.html', 'title': 'Further information'}]",2021-10-13T14:46:37.395042Z,2022-09-14T09:09:29.015894Z,['http://www.opengis.net/def/crs/OGC/1.3/CRS84'],Feature,Load (vehicles) on the Swiss road network (passengers and freight),"{'spatial': {'bbox': [[5.96, 45.82, 10.49, 47.81]]}, 'temporal': {'interval': [['2017-06-30T00:00:00Z', '2017-06-30T00:00:00Z']]}}",proprietary,"[{'name': 'Federal Office for Spatial Development - ARE', 'roles': ['producer', 'licensor'], 'url': 'https://www.are.admin.ch/'}]",{'proj:epsg': [2056]}
5,Collection,ch.are.belastung-personenverkehr-strasse_zukunft,1.0.0,"Vehicles on the Swiss road network, divided into passenger cars (PW), delivery vehicles (LI), lorries (LW) and articulated lorries (LZ) in 2050. Daily values for average workday traffic (AWDT) and average daily traffic (ADT) as well as values for the morning peak hour (7h-8h, MPH) and evening peak hour (17h-18h, EPH). Source: Transport outlook 2050, Scenario Basis.","[{'rel': 'self', 'href': 'https://data.geo.admin.ch/api/stac/v0.9/collections/ch.are.belastung-personenverkehr-strasse_zukunft'}, {'rel': <RelType.ROOT: 'root'>, 'href': 'https://data.geo.admin.ch/api/stac/v0.9/', 'type': <MediaType.JSON: 'application/json'>, 'title': 'data.geo.admin.ch'}, {'rel': 'parent', 'href': 'https://data.geo.admin.ch/api/stac/v0.9/'}, {'rel': 'items', 'href': 'https://data.geo.admin.ch/api/stac/v0.9/collections/ch.are.belastung-personenverkehr-strasse_zukunft/items'}, {'rel': 'alternate', 'href': 'https://data.geo.admin.ch/browser/index.html#/collections/ch.are.belastung-personenverkehr-strasse_zukunft', 'type': 'text/html', 'title': 'STAC Browser'}, {'rel': 'license', 'href': 'https://opendata.swiss/en/terms-of-use/#terms_by', 'title': 'Terms of use'}, {'rel': 'describedby', 'href': 'https://www.geocat.ch/geonetwork/srv/eng/catalog.search#/metadata/5cd6d93e-3fbc-4ce9-b32b-136affb6baca', 'title': 'Metadata'}, {'rel': 'about', 'href': 'https://www.are.admin.ch/are/en/home/mobility/data/transport-perspectives.html', 'title': 'Further information'}]",2021-12-09T15:09:06.115081Z,2022-09-14T09:10:07.929197Z,['http://www.opengis.net/def/crs/OGC/1.3/CRS84'],Feature,Load (vehicles) on the Swiss road network (passengers and freight) 2050,"{'spatial': {'bbox': [[5.96, 45.82, 10.49, 47.81]]}, 'temporal': {'interval': [['2021-06-30T00:00:00Z', '2021-06-30T00:00:00Z']]}}",proprietary,"[{'name': 'Federal Office for Spatial Development - ARE', 'roles': ['producer', 'licensor'], 'url': 'https://www.are.admin.ch/'}]",{'proj:epsg': [2056]}
6,Collection,ch.are.erreichbarkeit-miv,1.0.0,Accessibility per traffic zone on the road depending on the travel times from all zones in Switzerland to the traffic zone and the number of inhabitants and jobs in the traffic zone Source: National Passenger Traffic Model (NPVM) of DETEC.,"[{'rel': 'self', 'href': 'https://data.geo.admin.ch/api/stac/v0.9/collections/ch.are.erreichbarkeit-miv'}, {'rel': <RelType.ROOT: 'root'>, 'href': 'https://data.geo.admin.ch/api/stac/v0.9/', 'type': <MediaType.JSON: 'application/json'>, 'title': 'data.geo.admin.ch'}, {'rel': 'parent', 'href': 'https://data.geo.admin.ch/api/stac/v0.9/'}, {'rel': 'items', 'href': 'https://data.geo.admin.ch/api/stac/v0.9/collections/ch.are.erreichbarkeit-miv/items'}, {'rel': 'alternate', 'href': 'https://data.geo.admin.ch/browser/index.html#/collections/ch.are.erreichbarkeit-miv', 'type': 'text/html', 'title': 'STAC Browser'}, {'rel': 'license', 'href': 'https://opendata.swiss/en/terms-of-use/#terms_by', 'title': 'Terms of use'}, {'rel': 'describedby', 'href': 'https://www.geocat.ch/geonetwork/srv/eng/catalog.search#/metadata/f0835478-07fc-4e12-bf48-51646a59c809', 'title': 'Metadata'}, {'rel': 'about', 'href': 'https://www.are.admin.ch/are/de/home/verkehr-und-infrastruktur/grundlagen-und-daten/verkehrsmodellierung/npvm.html', 'title': 'Further information'}]",2021-10-13T14:48:46.618053Z,2022-09-14T09:11:02.938235Z,['http://www.opengis.net/def/crs/OGC/1.3/CRS84'],Feature,Accessibility by road depending on travel time and potential at destination,"{'spatial': {'bbox': [[5.96, 45.82, 10.49, 47.81]]}, 'temporal': {'interval': [['2017-06-30T00:00:00Z', '2017-06-30T00:00:00Z']]}}",proprietary,"[{'name': 'Federal Office for Spatial Development - ARE', 'roles': ['producer', 'licensor'], 'url': 'https://www.are.admin.ch/'}]",{'proj:epsg': [2056]}
7,Collection,ch.are.erreichbarkeit-oev,1.0.0,Accessibility per traffic zone in public transport depending on the public transport travel times from all zones in Switzerland to the traffic zone and the number of inhabitants and jobs in the traffic zone. Source: National Passenger Traffic Model (NPVM) of DETEC.,"[{'rel': 'self', 'href': 'https://data.geo.admin.ch/api/stac/v0.9/collections/ch.are.erreichbarkeit-oev'}, {'rel': <RelType.ROOT: 'root'>, 'href': 'https://data.geo.admin.ch/api/stac/v0.9/', 'type': <MediaType.JSON: 'application/json'>, 'title': 'data.geo.admin.ch'}, {'rel': 'parent', 'href': 'https://data.geo.admin.ch/api/stac/v0.9/'}, {'rel': 'items', 'href': 'https://data.geo.admin.ch/api/stac/v0.9/collections/ch.are.erreichbarkeit-oev/items'}, {'rel': 'alternate', 'href': 'https://data.geo.admin.ch/browser/index.html#/collections/ch.are.erreichbarkeit-oev', 'type': 'text/html', 'title': 'STAC Browser'}, {'rel': 'license', 'href': 'https://opendata.swiss/en/terms-of-use/#terms_by', 'title': 'Terms of use'}, {'rel': 'describedby', 'href': 'https://www.geocat.ch/geonetwork/srv/eng/catalog.search#/metadata/e3437f64-68e1-4b07-ae35-22597ca89cc2', 'title': 'Metadata'}, {'rel': 'about', 'href': 'https://www.are.admin.ch/are/de/home/verkehr-und-infrastruktur/grundlagen-und-daten/verkehrsmodellierung/npvm.html', 'title': 'Further information'}]",2021-10-13T14:50:08.252198Z,2022-09-14T09:11:16.744448Z,['http://www.opengis.net/def/crs/OGC/1.3/CRS84'],Feature,Accessibility by public transport depending on travel time and potential at destination,"{'spatial': {'bbox': [[5.96, 45.82, 10.49, 47.81]]}, 'temporal': {'interval': [['2017-06-30T00:00:00Z', '2017-06-30T00:00:00Z']]}}",proprietary,"[{'name': 'Federal Office for Spatial Development - ARE', 'roles': ['producer', 'licensor'], 'url': 'https://www.are.admin.ch/'}]",{'proj:epsg': [2056]}
8,Collection,ch.are.gemeindetypen,1.0.0,"The typology of municipalities ARE is the result of a combination of the large regions, the agglomeration definition 2000 and the municipality typology of the Federal Office of Statistics (FSO).
The typology of municipalities ARE is no longer updated. It is recommended to use the current municipality typology 2012 of the FSO.
Further information: https://www.bfs.admin.ch/bfs/de/home/statistiken/querschnittsthemen/raeumliche-analysen/raeumliche-gliederungen/raeumliche-typologien.assetdetail.2543279.html.","[{'rel': 'self', 'href': 'https://data.geo.admin.ch/api/stac/v0.9/collections/ch.are.gemeindetypen'}, {'rel': <RelType.ROOT: 'root'>, 'href': 'https://data.geo.admin.ch/api/stac/v0.9/', 'type': <MediaType.JSON: 'application/json'>, 'title': 'data.geo.admin.ch'}, {'rel': 'parent', 'href': 'https://data.geo.admin.ch/api/stac/v0.9/'}, {'rel': 'items', 'href': 'https://data.geo.admin.ch/api/stac/v0.9/collections/ch.are.gemeindetypen/items'}, {'rel': 'alternate', 'href': 'https://data.geo.admin.ch/browser/index.html#/collections/ch.are.gemeindetypen', 'type': 'text/html', 'title': 'STAC Browser'}, {'rel': 'license', 'href': 'https://opendata.swiss/en/terms-of-use/#terms_by', 'title': 'Terms of use'}, {'rel': 'describedby', 'href': 'https://www.geocat.ch/geonetwork/srv/eng/catalog.search#/metadata/c967f055-9482-4bcb-a1bb-8de7971e7293', 'title': 'Metadata'}, {'rel': 'about', 'href': 'https://www.are.admin.ch/are/de/home/raumentwicklung-und-raumplanung/grundlagen-und-daten/bauzonenstatistik-schweiz.html', 'title': 'Further information'}]",2021-10-13T14:51:34.470508Z,2022-09-14T09:11:59.161082Z,['http://www.opengis.net/def/crs/OGC/1.3/CRS84'],Feature,Typology of municipalities ARE,"{'spatial': {'bbox': [[5.96, 45.82, 10.49, 47.81]]}, 'temporal': {'interval': [['2014-01-01T00:00:00Z', '2014-01-01T00:00:00Z']]}}",proprietary,"[{'name': 'Federal Office for Spatial Development - ARE', 'roles': ['producer', 'licensor'], 'url': 'https://www.are.admin.ch/'}]",{'proj:epsg': [2056]}
9,Collection,ch.are.gueteklassen_oev,1.0.0,The public transport quality categories are an important indicator for evaluating accessibility by public transport. They are calculated using an automated process on the basis of data taken from the electronic timetables of the Swiss transport companies (HAFAS).,"[{'rel': 'self', 'href': 'https://data.geo.admin.ch/api/stac/v0.9/collections/ch.are.gueteklassen_oev'}, {'rel': <RelType.ROOT: 'root'>, 'href': 'https://data.geo.admin.ch/api/stac/v0.9/', 'type': <MediaType.JSON: 'application/json'>, 'title': 'data.geo.admin.ch'}, {'rel': 'parent', 'href': 'https://data.geo.admin.ch/api/stac/v0.9/'}, {'rel': 'items', 'href': 'https://data.geo.admin.ch/api/stac/v0.9/collections/ch.are.gueteklassen_oev/items'}, {'rel': 'alternate', 'href': 'https://data.geo.admin.ch/browser/index.html#/collections/ch.are.gueteklassen_oev', 'type': 'text/html', 'title': 'STAC Browser'}, {'rel': 'license', 'href': 'https://opendata.swiss/en/terms-of-use/#terms_by', 'title': 'Terms of use'}, {'rel': 'describedby', 'href': 'https://www.geocat.ch/geonetwork/srv/eng/catalog.search#/metadata/61a79435-b986-495e-b3ea-fe97c4abd558', 'title': 'Metadata'}, {'rel': 'about', 'href': 'https://www.are.admin.ch/are/de/home/verkehr-und-infrastruktur/grundlagen-und-daten/verkehrserschliessung-in-der-schweiz.html', 'title': 'Further information'}]",2021-10-13T14:53:02.801794Z,2023-01-11T07:38:50.946965Z,['http://www.opengis.net/def/crs/OGC/1.3/CRS84'],Feature,Public transport quality categories (ARE),"{'spatial': {'bbox': [[5.96, 45.82, 10.49, 47.81]]}, 'temporal': {'interval': [['2012-02-02T00:00:00Z', '2023-03-22T00:00:00Z']]}}",proprietary,"[{'name': 'Federal Office for Spatial Development - ARE', 'roles': ['producer', 'licensor'], 'url': 'https://www.are.admin.ch/'}]",{'proj:epsg': [2056]}
